"Renewable energy share of electricity capacity and generation (%) by Region/country/area, Indicator and Year"

"Region/country/area","Indicator","Year",Renewable energy share of electricity capacity and generation (%)
"Africa","RE share of electricity generation (%)","2005",17.99
"Africa","RE share of electricity generation (%)","2006",17.91
"Africa","RE share of electricity generation (%)","2007",17.07
"Africa","RE share of electricity generation (%)","2008",17.40
"Africa","RE share of electricity generation (%)","2009",18.06
"Africa","RE share of electricity generation (%)","2010",18.05
"Africa","RE share of electricity generation (%)","2011",17.89
"Africa","RE share of electricity generation (%)","2012",17.59
"Africa","RE share of electricity generation (%)","2013",18.15
"Africa","RE share of electricity generation (%)","2014",18.60
"Africa","RE share of electricity generation (%)","2015",18.49
"Africa","RE share of electricity generation (%)","2016",18.65
"Africa","RE share of electricity generation (%)","2017",19.06
"Africa","RE share of electricity generation (%)","2018",20.01
"Africa","RE share of electricity generation (%)","2019",20.87
"Africa","RE share of electricity generation (%)","2020",22.63
"Africa","RE share of electricity generation (%)","2021",23.05
"Africa","RE share of electricity generation (%)","2022",22.99
"Africa","RE share of electricity generation (%)","2023",24.06
"Africa","RE share of electricity generation (%)","2024",-
"Asia","RE share of electricity capacity (%)","2000",17.50
"Asia","RE share of electricity capacity (%)","2001",18.17
"Asia","RE share of electricity capacity (%)","2002",18.03
"Asia","RE share of electricity capacity (%)","2003",18.46
"Asia","RE share of electricity capacity (%)","2004",18.65
"Asia","RE share of electricity capacity (%)","2005",18.63
"Asia","RE share of electricity capacity (%)","2006",18.40
"Asia","RE share of electricity capacity (%)","2007",18.47
"Asia","RE share of electricity capacity (%)","2008",19.45
"Asia","RE share of electricity capacity (%)","2009",20.32
"Asia","RE share of electricity capacity (%)","2010",20.96
"Asia","RE share of electricity capacity (%)","2011",21.70
"Asia","RE share of electricity capacity (%)","2012",22.48
"Asia","RE share of electricity capacity (%)","2013",24.18
"Asia","RE share of electricity capacity (%)","2014",25.73
"Asia","RE share of electricity capacity (%)","2015",27.15
"Asia","RE share of electricity capacity (%)","2016",28.59
"Asia","RE share of electricity capacity (%)","2017",30.33
"Asia","RE share of electricity capacity (%)","2018",31.65
"Asia","RE share of electricity capacity (%)","2019",33.05
"Asia","RE share of electricity capacity (%)","2020",35.69
"Asia","RE share of electricity capacity (%)","2021",37.68
"Asia","RE share of electricity capacity (%)","2022",39.69
"Asia","RE share of electricity capacity (%)","2023",43.52
"Asia","RE share of electricity capacity (%)","2024",47.40
"Asia","RE share of electricity generation (%)","2000",13.65
"Asia","RE share of electricity generation (%)","2001",14.38
"Asia","RE share of electricity generation (%)","2002",13.75
"Asia","RE share of electricity generation (%)","2003",13.21
"Asia","RE share of electricity generation (%)","2004",13.73
"Asia","RE share of electricity generation (%)","2005",13.65
"Asia","RE share of electricity generation (%)","2006",13.93
"Asia","RE share of electricity generation (%)","2007",13.69
"Asia","RE share of electricity generation (%)","2008",15.06
"Asia","RE share of electricity generation (%)","2009",15.08
"Asia","RE share of electricity generation (%)","2010",15.57
"Asia","RE share of electricity generation (%)","2011",15.03
"Asia","RE share of electricity generation (%)","2012",16.99
"Asia","RE share of electricity generation (%)","2013",17.21
"Asia","RE share of electricity generation (%)","2014",18.91
"Asia","RE share of electricity generation (%)","2015",19.67
"Asia","RE share of electricity generation (%)","2016",20.43
"Asia","RE share of electricity generation (%)","2017",21.15
"Asia","RE share of electricity generation (%)","2018",21.65
"Asia","RE share of electricity generation (%)","2019",22.59
"Asia","RE share of electricity generation (%)","2020",23.92
"Asia","RE share of electricity generation (%)","2021",24.67
"Asia","RE share of electricity generation (%)","2022",26.16
"Asia","RE share of electricity generation (%)","2023",26.57
"Asia","RE share of electricity generation (%)","2024",-
"Central America and the Caribbean","RE share of electricity capacity (%)","2000",23.93
"Central America and the Caribbean","RE share of electricity capacity (%)","2001",23.34
"Central America and the Caribbean","RE share of electricity capacity (%)","2002",23.45
"Central America and the Caribbean","RE share of electricity capacity (%)","2003",23.96
"Central America and the Caribbean","RE share of electricity capacity (%)","2004",23.73
"Central America and the Caribbean","RE share of electricity capacity (%)","2005",24.47
"Central America and the Caribbean","RE share of electricity capacity (%)","2006",24.29
"Central America and the Caribbean","RE share of electricity capacity (%)","2007",23.70
"Central America and the Caribbean","RE share of electricity capacity (%)","2008",23.69
"Central America and the Caribbean","RE share of electricity capacity (%)","2009",23.48
"Central America and the Caribbean","RE share of electricity capacity (%)","2010",23.69
"Central America and the Caribbean","RE share of electricity capacity (%)","2011",24.92
"Central America and the Caribbean","RE share of electricity capacity (%)","2012",26.69
"Central America and the Caribbean","RE share of electricity capacity (%)","2013",26.40
"Central America and the Caribbean","RE share of electricity capacity (%)","2014",27.60
"Central America and the Caribbean","RE share of electricity capacity (%)","2015",30.50
"Central America and the Caribbean","RE share of electricity capacity (%)","2016",32.55
"Central America and the Caribbean","RE share of electricity capacity (%)","2017",34.10
"Central America and the Caribbean","RE share of electricity capacity (%)","2018",34.90
"Central America and the Caribbean","RE share of electricity capacity (%)","2019",35.54
"Central America and the Caribbean","RE share of electricity capacity (%)","2020",35.70
"Central America and the Caribbean","RE share of electricity capacity (%)","2021",37.16
"Central America and the Caribbean","RE share of electricity capacity (%)","2022",38.07
"Central America and the Caribbean","RE share of electricity capacity (%)","2023",38.95
"Central America and the Caribbean","RE share of electricity capacity (%)","2024",38.71
"Central America and the Caribbean","RE share of electricity generation (%)","2000",22.35
"Central America and the Caribbean","RE share of electricity generation (%)","2001",20.10
"Central America and the Caribbean","RE share of electricity generation (%)","2002",20.42
"Central America and the Caribbean","RE share of electricity generation (%)","2003",20.66
"Central America and the Caribbean","RE share of electricity generation (%)","2004",23.00
"Central America and the Caribbean","RE share of electricity generation (%)","2005",23.18
"Central America and the Caribbean","RE share of electricity generation (%)","2006",22.57
"Central America and the Caribbean","RE share of electricity generation (%)","2007",22.39
"Central America and the Caribbean","RE share of electricity generation (%)","2008",23.62
"Central America and the Caribbean","RE share of electricity generation (%)","2009",22.97
"Central America and the Caribbean","RE share of electricity generation (%)","2010",24.94
"Central America and the Caribbean","RE share of electricity generation (%)","2011",24.44
"Central America and the Caribbean","RE share of electricity generation (%)","2012",26.30
"Central America and the Caribbean","RE share of electricity generation (%)","2013",26.74
"Central America and the Caribbean","RE share of electricity generation (%)","2014",26.56
"Central America and the Caribbean","RE share of electricity generation (%)","2015",27.72
"Central America and the Caribbean","RE share of electricity generation (%)","2016",28.87
"Central America and the Caribbean","RE share of electricity generation (%)","2017",21.26
"Central America and the Caribbean","RE share of electricity generation (%)","2018",21.28
"Central America and the Caribbean","RE share of electricity generation (%)","2019",18.75
"Central America and the Caribbean","RE share of electricity generation (%)","2020",22.06
"Central America and the Caribbean","RE share of electricity generation (%)","2021",23.02
"Central America and the Caribbean","RE share of electricity generation (%)","2022",22.60
"Central America and the Caribbean","RE share of electricity generation (%)","2023",19.96
"Central America and the Caribbean","RE share of electricity generation (%)","2024",-
"Eurasia","RE share of electricity capacity (%)","2000",23.93
"Eurasia","RE share of electricity capacity (%)","2001",23.96
"Eurasia","RE share of electricity capacity (%)","2002",23.95
"Eurasia","RE share of electricity capacity (%)","2003",23.77
"Eurasia","RE share of electricity capacity (%)","2004",23.73
"Eurasia","RE share of electricity capacity (%)","2005",23.60
"Eurasia","RE share of electricity capacity (%)","2006",23.43
"Eurasia","RE share of electricity capacity (%)","2007",23.63
"Eurasia","RE share of electricity capacity (%)","2008",23.79
"Eurasia","RE share of electricity capacity (%)","2009",23.97
"Eurasia","RE share of electricity capacity (%)","2010",24.41
"Eurasia","RE share of electricity capacity (%)","2011",24.74
"Eurasia","RE share of electricity capacity (%)","2012",25.22
"Eurasia","RE share of electricity capacity (%)","2013",25.39
"Eurasia","RE share of electricity capacity (%)","2014",25.26
"Eurasia","RE share of electricity capacity (%)","2015",25.92
"Eurasia","RE share of electricity capacity (%)","2016",26.48
"Eurasia","RE share of electricity capacity (%)","2017",26.87
"Eurasia","RE share of electricity capacity (%)","2018",27.66
"Eurasia","RE share of electricity capacity (%)","2019",28.54
"Eurasia","RE share of electricity capacity (%)","2020",29.86
"Eurasia","RE share of electricity capacity (%)","2021",30.91
"Eurasia","RE share of electricity capacity (%)","2022",31.45
"Eurasia","RE share of electricity capacity (%)","2023",32.49
"Eurasia","RE share of electricity capacity (%)","2024",34.64
"Eurasia","RE share of electricity generation (%)","2000",18.92
"Eurasia","RE share of electricity generation (%)","2001",18.96
"Eurasia","RE share of electricity generation (%)","2002",18.86
"Eurasia","RE share of electricity generation (%)","2003",17.96
"Eurasia","RE share of electricity generation (%)","2004",20.21
"Eurasia","RE share of electricity generation (%)","2005",18.81
"Eurasia","RE share of electricity generation (%)","2006",18.26
"Eurasia","RE share of electricity generation (%)","2007",17.57
"Eurasia","RE share of electricity generation (%)","2008",16.03
"Eurasia","RE share of electricity generation (%)","2009",17.81
"Eurasia","RE share of electricity generation (%)","2010",17.95
"Eurasia","RE share of electricity generation (%)","2011",17.42
"Eurasia","RE share of electricity generation (%)","2012",17.37
"Eurasia","RE share of electricity generation (%)","2013",18.91
"Eurasia","RE share of electricity generation (%)","2014",17.68
"Eurasia","RE share of electricity generation (%)","2015",19.29
"Eurasia","RE share of electricity generation (%)","2016",20.54
"Eurasia","RE share of electricity generation (%)","2017",19.98
"Eurasia","RE share of electricity generation (%)","2018",21.88
"Eurasia","RE share of electricity generation (%)","2019",24.53
"Eurasia","RE share of electricity generation (%)","2020",25.97
"Eurasia","RE share of electricity generation (%)","2021",25.15
"Eurasia","RE share of electricity generation (%)","2022",23.48
"Eurasia","RE share of electricity generation (%)","2023",24.11
"Eurasia","RE share of electricity generation (%)","2024",-
"Europe","RE share of electricity capacity (%)","2000",23.17
"Europe","RE share of electricity capacity (%)","2001",23.59
"Europe","RE share of electricity capacity (%)","2002",24.13
"Europe","RE share of electricity capacity (%)","2003",24.89
"Europe","RE share of electricity capacity (%)","2004",25.28
"Europe","RE share of electricity capacity (%)","2005",26.37
"Europe","RE share of electricity capacity (%)","2006",27.04
"Europe","RE share of electricity capacity (%)","2007",27.79
"Europe","RE share of electricity capacity (%)","2008",28.78
"Europe","RE share of electricity capacity (%)","2009",30.22
"Europe","RE share of electricity capacity (%)","2010",31.50
"Europe","RE share of electricity capacity (%)","2011",34.03
"Europe","RE share of electricity capacity (%)","2012",36.33
"Europe","RE share of electricity capacity (%)","2013",38.11
"Europe","RE share of electricity capacity (%)","2014",39.31
"Europe","RE share of electricity capacity (%)","2015",41.22
"Europe","RE share of electricity capacity (%)","2016",42.88
"Europe","RE share of electricity capacity (%)","2017",44.40
"Europe","RE share of electricity capacity (%)","2018",45.42
"Europe","RE share of electricity capacity (%)","2019",47.74
"Europe","RE share of electricity capacity (%)","2020",49.69
"Europe","RE share of electricity capacity (%)","2021",51.57
"Europe","RE share of electricity capacity (%)","2022",54.00
"Europe","RE share of electricity capacity (%)","2023",56.62
"Europe","RE share of electricity capacity (%)","2024",60.24
"Europe","RE share of electricity generation (%)","2000",18.08
"Europe","RE share of electricity generation (%)","2001",18.06
"Europe","RE share of electricity generation (%)","2002",16.69
"Europe","RE share of electricity generation (%)","2003",15.88
"Europe","RE share of electricity generation (%)","2004",17.05
"Europe","RE share of electricity generation (%)","2005",17.71
"Europe","RE share of electricity generation (%)","2006",17.75
"Europe","RE share of electricity generation (%)","2007",18.69
"Europe","RE share of electricity generation (%)","2008",20.16
"Europe","RE share of electricity generation (%)","2009",21.87
"Europe","RE share of electricity generation (%)","2010",23.12
"Europe","RE share of electricity generation (%)","2011",23.14
"Europe","RE share of electricity generation (%)","2012",26.12
"Europe","RE share of electricity generation (%)","2013",28.71
"Europe","RE share of electricity generation (%)","2014",30.51
"Europe","RE share of electricity generation (%)","2015",31.27
"Europe","RE share of electricity generation (%)","2016",31.64
"Europe","RE share of electricity generation (%)","2017",31.88
"Europe","RE share of electricity generation (%)","2018",34.20
"Europe","RE share of electricity generation (%)","2019",35.64
"Europe","RE share of electricity generation (%)","2020",40.13
"Europe","RE share of electricity generation (%)","2021",39.24
"Europe","RE share of electricity generation (%)","2022",40.47
"Europe","RE share of electricity generation (%)","2023",46.17
"Europe","RE share of electricity generation (%)","2024",-
"Middle East","RE share of electricity capacity (%)","2000",4.16
"Middle East","RE share of electricity capacity (%)","2001",4.01
"Middle East","RE share of electricity capacity (%)","2002",4.18
"Middle East","RE share of electricity capacity (%)","2003",4.53
"Middle East","RE share of electricity capacity (%)","2004",6.27
"Middle East","RE share of electricity capacity (%)","2005",6.67
"Middle East","RE share of electricity capacity (%)","2006",6.84
"Middle East","RE share of electricity capacity (%)","2007",6.97
"Middle East","RE share of electricity capacity (%)","2008",6.34
"Middle East","RE share of electricity capacity (%)","2009",5.93
"Middle East","RE share of electricity capacity (%)","2010",5.79
"Middle East","RE share of electricity capacity (%)","2011",5.59
"Middle East","RE share of electricity capacity (%)","2012",5.56
"Middle East","RE share of electricity capacity (%)","2013",5.43
"Middle East","RE share of electricity capacity (%)","2014",5.70
"Middle East","RE share of electricity capacity (%)","2015",5.40
"Middle East","RE share of electricity capacity (%)","2016",5.48
"Middle East","RE share of electricity capacity (%)","2017",5.57
"Middle East","RE share of electricity capacity (%)","2018",6.01
"Middle East","RE share of electricity capacity (%)","2019",6.70
"Middle East","RE share of electricity capacity (%)","2020",7.09
"Middle East","RE share of electricity capacity (%)","2021",7.64
"Middle East","RE share of electricity capacity (%)","2022",8.79
"Middle East","RE share of electricity capacity (%)","2023",10.16
"Middle East","RE share of electricity capacity (%)","2024",10.95
"Middle East","RE share of electricity generation (%)","2000",1.70
"Middle East","RE share of electricity generation (%)","2001",1.92
"Middle East","RE share of electricity generation (%)","2002",2.26
"Middle East","RE share of electricity generation (%)","2003",2.79
"Middle East","RE share of electricity generation (%)","2004",2.77
"Middle East","RE share of electricity generation (%)","2005",4.14
"Middle East","RE share of electricity generation (%)","2006",4.09
"Middle East","RE share of electricity generation (%)","2007",3.67
"Middle East","RE share of electricity generation (%)","2008",1.52
"Middle East","RE share of electricity generation (%)","2009",1.63
"Middle East","RE share of electricity generation (%)","2010",2.07
"Middle East","RE share of electricity generation (%)","2011",2.32
"Middle East","RE share of electricity generation (%)","2012",2.28
"Middle East","RE share of electricity generation (%)","2013",2.43
"Middle East","RE share of electricity generation (%)","2014",1.96
"Middle East","RE share of electricity generation (%)","2015",1.78
"Middle East","RE share of electricity generation (%)","2016",2.13
"Middle East","RE share of electricity generation (%)","2017",1.94
"Middle East","RE share of electricity generation (%)","2018",2.13
"Middle East","RE share of electricity generation (%)","2019",3.92
"Middle East","RE share of electricity generation (%)","2020",3.55
"Middle East","RE share of electricity generation (%)","2021",3.00
"Middle East","RE share of electricity generation (%)","2022",3.33
"Middle East","RE share of electricity generation (%)","2023",4.26
"Middle East","RE share of electricity generation (%)","2024",-
"North America","RE share of electricity capacity (%)","2000",18.27
"North America","RE share of electricity capacity (%)","2001",17.59
"North America","RE share of electricity capacity (%)","2002",16.91
"North America","RE share of electricity capacity (%)","2003",16.39
"North America","RE share of electricity capacity (%)","2004",16.24
"North America","RE share of electricity capacity (%)","2005",16.31
"North America","RE share of electricity capacity (%)","2006",16.58
"North America","RE share of electricity capacity (%)","2007",17.08
"North America","RE share of electricity capacity (%)","2008",17.67
"North America","RE share of electricity capacity (%)","2009",18.40
"North America","RE share of electricity capacity (%)","2010",18.81
"North America","RE share of electricity capacity (%)","2011",19.44
"North America","RE share of electricity capacity (%)","2012",20.79
"North America","RE share of electricity capacity (%)","2013",21.56
"North America","RE share of electricity capacity (%)","2014",22.40
"North America","RE share of electricity capacity (%)","2015",23.95
"North America","RE share of electricity capacity (%)","2016",25.36
"North America","RE share of electricity capacity (%)","2017",26.29
"North America","RE share of electricity capacity (%)","2018",27.01
"North America","RE share of electricity capacity (%)","2019",28.46
"North America","RE share of electricity capacity (%)","2020",30.27
"North America","RE share of electricity capacity (%)","2021",32.19
"North America","RE share of electricity capacity (%)","2022",33.45
"North America","RE share of electricity capacity (%)","2023",34.77
"North America","RE share of electricity capacity (%)","2024",36.79
"North America","RE share of electricity generation (%)","2000",15.19
"North America","RE share of electricity generation (%)","2001",13.71
"North America","RE share of electricity generation (%)","2002",15.21
"North America","RE share of electricity generation (%)","2003",15.02
"North America","RE share of electricity generation (%)","2004",14.83
"North America","RE share of electricity generation (%)","2005",15.03
"North America","RE share of electricity generation (%)","2006",15.45
"North America","RE share of electricity generation (%)","2007",14.84
"North America","RE share of electricity generation (%)","2008",15.69
"North America","RE share of electricity generation (%)","2009",16.73
"North America","RE share of electricity generation (%)","2010",16.29
"North America","RE share of electricity generation (%)","2011",18.36
"North America","RE share of electricity generation (%)","2012",18.32
"North America","RE share of electricity generation (%)","2013",19.07
"North America","RE share of electricity generation (%)","2014",19.44
"North America","RE share of electricity generation (%)","2015",19.64
"North America","RE share of electricity generation (%)","2016",21.06
"North America","RE share of electricity generation (%)","2017",22.98
"North America","RE share of electricity generation (%)","2018",22.57
"North America","RE share of electricity generation (%)","2019",23.31
"North America","RE share of electricity generation (%)","2020",25.46
"North America","RE share of electricity generation (%)","2021",25.85
"North America","RE share of electricity generation (%)","2022",27.19
"North America","RE share of electricity generation (%)","2023",26.56
"North America","RE share of electricity generation (%)","2024",-
"Oceania","RE share of electricity capacity (%)","2000",24.09
"Oceania","RE share of electricity capacity (%)","2001",24.19
"Oceania","RE share of electricity capacity (%)","2002",23.36
"Oceania","RE share of electricity capacity (%)","2003",23.14
"Oceania","RE share of electricity capacity (%)","2004",23.66
"Oceania","RE share of electricity capacity (%)","2005",25.65
"Oceania","RE share of electricity capacity (%)","2006",25.70
"Oceania","RE share of electricity capacity (%)","2007",25.37
"Oceania","RE share of electricity capacity (%)","2008",25.51
"Oceania","RE share of electricity capacity (%)","2009",25.44
"Oceania","RE share of electricity capacity (%)","2010",25.50
"Oceania","RE share of electricity capacity (%)","2011",25.99
"Oceania","RE share of electricity capacity (%)","2012",27.49
"Oceania","RE share of electricity capacity (%)","2013",29.06
"Oceania","RE share of electricity capacity (%)","2014",30.20
"Oceania","RE share of electricity capacity (%)","2015",29.72
"Oceania","RE share of electricity capacity (%)","2016",31.55
"Oceania","RE share of electricity capacity (%)","2017",34.28
"Oceania","RE share of electricity capacity (%)","2018",37.89
"Oceania","RE share of electricity capacity (%)","2019",41.75
"Oceania","RE share of electricity capacity (%)","2020",44.93
"Oceania","RE share of electricity capacity (%)","2021",47.40
"Oceania","RE share of electricity capacity (%)","2022",50.10
"Oceania","RE share of electricity capacity (%)","2023",51.39
"Oceania","RE share of electricity capacity (%)","2024",54.06
"Oceania","RE share of electricity generation (%)","2000",18.67
"Oceania","RE share of electricity generation (%)","2001",16.76
"Oceania","RE share of electricity generation (%)","2002",17.49
"Oceania","RE share of electricity generation (%)","2003",17.66
"Oceania","RE share of electricity generation (%)","2004",18.52
"Oceania","RE share of electricity generation (%)","2005",17.83
"Oceania","RE share of electricity generation (%)","2006",18.27
"Oceania","RE share of electricity generation (%)","2007",17.71
"Oceania","RE share of electricity generation (%)","2008",17.14
"Oceania","RE share of electricity generation (%)","2009",17.43
"Oceania","RE share of electricity generation (%)","2010",18.61
"Oceania","RE share of electricity generation (%)","2011",20.36
"Oceania","RE share of electricity generation (%)","2012",20.00
"Oceania","RE share of electricity generation (%)","2013",22.41
"Oceania","RE share of electricity generation (%)","2014",24.28
"Oceania","RE share of electricity generation (%)","2015",23.37
"Oceania","RE share of electricity generation (%)","2016",24.65
"Oceania","RE share of electricity generation (%)","2017",25.20
"Oceania","RE share of electricity generation (%)","2018",26.61
"Oceania","RE share of electricity generation (%)","2019",28.57
"Oceania","RE share of electricity generation (%)","2020",30.64
"Oceania","RE share of electricity generation (%)","2021",34.19
"Oceania","RE share of electricity generation (%)","2022",38.19
"Oceania","RE share of electricity generation (%)","2023",40.70
"Oceania","RE share of electricity generation (%)","2024",-
"South America","RE share of electricity capacity (%)","2000",71.06
"South America","RE share of electricity capacity (%)","2001",70.81
"South America","RE share of electricity capacity (%)","2002",69.92
"South America","RE share of electricity capacity (%)","2003",69.18
"South America","RE share of electricity capacity (%)","2004",68.39
"South America","RE share of electricity capacity (%)","2005",68.49
"South America","RE share of electricity capacity (%)","2006",68.48
"South America","RE share of electricity capacity (%)","2007",68.34
"South America","RE share of electricity capacity (%)","2008",67.28
"South America","RE share of electricity capacity (%)","2009",66.88
"South America","RE share of electricity capacity (%)","2010",65.46
"South America","RE share of electricity capacity (%)","2011",65.42
"South America","RE share of electricity capacity (%)","2012",64.86
"South America","RE share of electricity capacity (%)","2013",63.63
"South America","RE share of electricity capacity (%)","2014",63.44
"South America","RE share of electricity capacity (%)","2015",64.39
"South America","RE share of electricity capacity (%)","2016",65.75
"South America","RE share of electricity capacity (%)","2017",65.70
"South America","RE share of electricity capacity (%)","2018",65.83
"South America","RE share of electricity capacity (%)","2019",66.50
"South America","RE share of electricity capacity (%)","2020",66.52
"South America","RE share of electricity capacity (%)","2021",67.47
"South America","RE share of electricity capacity (%)","2022",69.49
"South America","RE share of electricity capacity (%)","2023",71.23
"South America","RE share of electricity capacity (%)","2024",72.66
"South America","RE share of electricity generation (%)","2000",77.37
"South America","RE share of electricity generation (%)","2001",74.78
"South America","RE share of electricity generation (%)","2002",76.02
"South America","RE share of electricity generation (%)","2003",75.82
"South America","RE share of electricity generation (%)","2004",74.22
"South America","RE share of electricity generation (%)","2005",75.63
"South America","RE share of electricity generation (%)","2006",75.23
"South America","RE share of electricity generation (%)","2007",74.54
"South America","RE share of electricity generation (%)","2008",72.13
"South America","RE share of electricity generation (%)","2009",73.64
"South America","RE share of electricity generation (%)","2010",70.75
"South America","RE share of electricity generation (%)","2011",72.67
"South America","RE share of electricity generation (%)","2012",68.41
"South America","RE share of electricity generation (%)","2013",64.60
"South America","RE share of electricity generation (%)","2014",63.20
"South America","RE share of electricity generation (%)","2015",62.70
"South America","RE share of electricity generation (%)","2016",65.30
"South America","RE share of electricity generation (%)","2017",67.57
"South America","RE share of electricity generation (%)","2018",70.01
"South America","RE share of electricity generation (%)","2019",70.75
"South America","RE share of electricity generation (%)","2020",71.64
"South America","RE share of electricity generation (%)","2021",68.44
"South America","RE share of electricity generation (%)","2022",75.11
"South America","RE share of electricity generation (%)","2023",76.78
"South America","RE share of electricity generation (%)","2024",-
"Afghanistan","RE share of electricity capacity (%)","2000",86.56
"Afghanistan","RE share of electricity capacity (%)","2001",86.56
"Afghanistan","RE share of electricity capacity (%)","2002",86.56
"Afghanistan","RE share of electricity capacity (%)","2003",83.80
"Afghanistan","RE share of electricity capacity (%)","2004",78.66
"Afghanistan","RE share of electricity capacity (%)","2005",78.74
"Afghanistan","RE share of electricity capacity (%)","2006",79.00
"Afghanistan","RE share of electricity capacity (%)","2007",79.07
"Afghanistan","RE share of electricity capacity (%)","2008",78.14
"Afghanistan","RE share of electricity capacity (%)","2009",62.07
"Afghanistan","RE share of electricity capacity (%)","2010",58.78
"Afghanistan","RE share of electricity capacity (%)","2011",51.47
"Afghanistan","RE share of electricity capacity (%)","2012",55.10
"Afghanistan","RE share of electricity capacity (%)","2013",55.37
"Afghanistan","RE share of electricity capacity (%)","2014",55.79
"Afghanistan","RE share of electricity capacity (%)","2015",56.13
"Afghanistan","RE share of electricity capacity (%)","2016",59.68
"Afghanistan","RE share of electricity capacity (%)","2017",61.16
"Afghanistan","RE share of electricity capacity (%)","2018",61.15
"Afghanistan","RE share of electricity capacity (%)","2019",59.23
"Afghanistan","RE share of electricity capacity (%)","2020",59.20
"Afghanistan","RE share of electricity capacity (%)","2021",60.20
"Afghanistan","RE share of electricity capacity (%)","2022",65.39
"Afghanistan","RE share of electricity capacity (%)","2023",65.39
"Afghanistan","RE share of electricity capacity (%)","2024",65.39
"Afghanistan","RE share of electricity generation (%)","2000",93.54
